1216531,2,19,6,N Pooran,KL Rahul,YS Chahal,6,0,6,0,0,NA,NA,NA,NA,Kings XI Punjab,Royal Challengers Bangalore
1216531,1,1,3,AJ Finch,D Padikkal,Mohammed Shami,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,1,4,AJ Finch,D Padikkal,Mohammed Shami,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,1,5,AJ Finch,D Padikkal,Mohammed Shami,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,1,6,AJ Finch,D Padikkal,Mohammed Shami,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,2,1,AJ Finch,D Padikkal,Arshdeep Singh,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,2,2,AJ Finch,D Padikkal,Arshdeep Singh,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,2,3,AJ Finch,D Padikkal,Arshdeep Singh,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,2,4,D Padikkal,AJ Finch,Arshdeep Singh,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,2,5,D Padikkal,AJ Finch,Arshdeep Singh,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,2,6,D Padikkal,AJ Finch,Arshdeep Singh,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,7,1,Washington Sundar,V Kohli,GJ Maxwell,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,7,2,Washington Sundar,V Kohli,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,7,3,V Kohli,Washington Sundar,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,7,4,Washington Sundar,V Kohli,GJ Maxwell,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,7,5,Washington Sundar,V Kohli,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,7,6,V Kohli,Washington Sundar,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
